,Loss,Error
0,0.7150104,1.3064886
1,0.8503204,19840.555
2,0.95947146,19024.326
3,1.0084107,1.098385
4,0.7479422,12288.174
5,0.76096207,26622.965
6,0.82554394,10325.329
7,0.79469323,1.0735679
8,0.6007775,29794.268
9,0.8660238,1.2705157
10,0.80475223,0.9681132
11,0.52315915,52612.0
12,0.53805375,33423.266
13,0.5029898,1.2325599
14,0.7836777,17221.977
15,0.7286515,15099.366
16,0.4182229,17500.473
17,0.9839488,17683.004
18,0.39125583,0.98681015
19,0.6354937,17524.193
20,0.37132746,31896.531
21,0.6594528,19682.033
22,0.44163695,50337.59
23,1.3148223,1.0012801
24,0.76856977,1.1947191
25,0.90313506,12909.537
26,0.5975118,15249.868
